ID,grade,teacher,time,T1,T2,T3,T4,S1,S2,S3,S4,S5,purpose,criteria,generality,evidence,audience1,audience2
301146,5,1,1,1,,,,0,0,0,0,0,The purpose of the model is to explain evaporation. I might use my model to help other people understand evaporation.,"A big idea one phenomena of that subject. Arrows, labels, and evidence. It haves to make sense so your audience. ",It was perew on the beaker because that one gave off the most information about evaporation.,Yes and I used the simulations. It shows how the molecules go around and bump into each other and move around.,For people that want to know about evaporation.,They are wrong because do they real think a puddle would go to a cloud. No it would go into the air. All the water molecules would bump into each other until there is no more.
301148,5,1,1,1,,,,0,0,0,0,0,The purpose of our model is to show evaporation. We will use it to show the researchers in MSU.,"Have a big idea (evaporation), make it easy to understand, show the working of the model and have evidence or proof.",I think it should explain different ways that evaporation happens. Because it has to explain evaporation the big idea and has to show all the kinds of evaporation.,Yes we used the two cup experiment and the molecules simulations on the computer.,"Mrs. J, me to learn and the researchers at MSU.",I will convince them by showing them what I learned also so them my model show them the simulations and watch the process with him if he still thinks that water goes straight to clouds.
301149,5,1,1,1,,,,0,0,0,0,0,The purpose is to show evaporation. I might use my model for science class.,A good model has labels and arrows or is organized. A good model also explains different phenomena and has a key.,I think it should focus on a specific situation. If you focus on multiple things it will look messy and it will be hard to read.,Yes. It shows molecules moving around.,MSU. and my teacher.,When the water molecules in the puddle get warm they move around and bump each other into the air and eventually they all go into the air.
301157,5,1,1,1,,,,0,0,0,0,0,To explain different phenomena.,Generality specific but not too specific that you don't need it. Audience it it easy to understand? Does it keep your audiences attention? Mechanism does it show and explain the how and why? Evidence are the facts accurate?,All different ways. Because that is not the only way evaporation happens. A little child might think it is if it focuses only on one phenomena.,Yes because I thought I was right about something but then I saw a simulation and realized I wasn't. I also added stuff I learned from the simulation. in my revised model.,Everyone!! Anybody!!,That is condensation. They are skipping evaporation. Then I would show them my model and a experiment.
301167,5,1,1,1,,,,0,0,0,0,0,The purpose of my model is to teach my peers or friends (etc.) about the concept of evaporation. I might try to use it to teach a first grader about evaporation.,"A good model has GAME. It has generality so it only adds facts that support the main idea (in this case evaporation) it has audience so it interprets the main idea to my audience well and it has mechanism so it has labels, symbols, arrows, etc. It should also have evidence from experiments, observations and research.",Well evaporation happens the same way except different phenomena but I would focus on a specific situation that can be used to explain different phenomena (it is general). I would do this because I need my model to have generality by not just explaining one situation but be too specific or focusing on all the different evaporation phenomena. There could be hundreds of different situations. ,"Yes it does use evidence. From the two cup experiments (one covered, one not, both filled with water) I learned evaporation does not need the sun, from our teacher and simulations I learned how molecules are involved in evaporation.",It is for anyone and everyone who wants to learn more about evaporation but cannot understand that concept.,"""Well a puddle is quite small and probably won't become that big of a cloud but mostly if water evaporated inside would it zoom out the door, race outside, and zoom up to the clouds? No. Water molecules are super small and chances are when they evaporate they move around in the air as water vapor inside or out. The won't form a tiny cloud though. They probably will be far from each other"" - Me"
301168,5,1,1,1,,,,0,0,0,0,0,To explain a certain phenomena or to show some evidence.,A good explanation and arrows labels.,Beaker because you get a better idea of water evaporation than the plate.,No we did close to two experiments and I remember the information. One revised model uses information we learn from the teacher.,Michigan State University.,With proof a model and a good explanation.
301169,5,1,1,1,,,,0,0,0,0,0,"To show evaporation, I would use this for in every day life. ","Labels, arrows, true data about the phenomena.",Yes because it will help you in every day life with evaporation.,Yes I don't understand this question.,I think this model is for anyone who thinks it would be useful.,I don't understand this question.
301118,5,1,1,1,,,,0,0,0,0,0,The purpose of the model is that you can explain evaporation to people and so you can learn too.,"Well you could have keys, likes, water leaf-less, and you need proof and a tittle and of course evaporation.",It should just focus on the main idea. So you can focus on the one evaporation meaning not a hole bunch of other things so you don't get confused.,Yes well it uses the information because my teacher talked to my group about the revised model.,I think it is for me and my group to learn more about evaporation.,Well the water doesn't just magic go into the air it has a process it evaporates.
301120,5,1,1,1,,,,1,0,0,0,0,The purpose of our model is to explain evaporation. And I might use our model when I am trying to explain evaporation to someone.,"It makes sense to the audience. It focuses on the main idea. It's scientific not super pretty. And it shows how things work, and it shows ""how?"", and ""why?"". And it's able to explain multiple phenomena.",I think our model only focuses on a specific situation because we only put one phenomena in our model.,Yes it does we based our model on the two cup experiment and as you can see in our model we have two cups.,3rd-6th graders.,Show them our model and explain it to them and how evaporation works and how I know.
301123,5,1,1,1,,,,0,0,0,0,0,To show what evaporation might be if it were in a cup. To show how mol. Bump each other and move around into the air.,By using GAME generality how does it work? Audience does it make since? Mechanism how and why does it work? Evidence does it show the big idea?,Yes I think it should show and explain how evaporation happens. It could show me exactly what happens and how it shows it change over time.,Yes it shows change over time and the mol. Moving.,To show evaporation and show evidence.,"The mol. Are moving rapidly because of the humidity in the air, so more mol. Are getting forced into the air, turning into water vapor a gas and evaporating."
301125,5,1,1,1,,,,0,0,0,0,0,"The purpose of my model is to show evaporation. I might use this model to show wet hair drying, a puddle evaporation, or a glass of water evaporating, etc. etc. ",What makes a good model is a bunch of explanations and an answer key. You should also probably should make it so it shows multiple phenomena.,I think you model should show and explain multiple phenomena. It should explain and how multiple phenomenon because then you could look at your model and explain it in a different way to someone else.,Yes my model does include all of that. It uses the information by showing the air molecules which was an idea from the teacher.,I think my model is for everyone who wants to learn more about evaporation.,I might explain a stronger idea to him/her and then do an experiment with them so I can prove to them that this is another way to show evaporation.
301341,5,1,1,1,,,,0,0,0,0,0,My purpose of this model is to show other people how evaporation works so they know how it works. ,"We went through GAME. sheet, we put labels and a key. It is also a good model because we all come up with something and put it together.",I think it should mainly focus on evaporation but not to much because you don't want it to be messy and explain many different phenomena but not to focused because the audience need to know how it works with something different.,"Yes it uses information from everyone especially our class, my group, and different suggestions people mentioned between our conversation.",For teaching other people who do not understand evaporation and help them learn either.,I will probably say it does not directly go to the clouds but before it goes really high it flows in air everywhere.
301130,5,1,1,1,,,,0,0,0,0,0,I see our model for explaining evaporation because I think that is shows it and explains it.,Anything that makes a model is GAME.,I think that it does because a reason is that we have air and molecules show it evaporating. Because if you look at your model it shows it.,"Yes it does. Because Mrs. J said that we need to have evidence, that is what we showed. ",Someone who knows about evaporation so they can tell us more.,It doesn't go right into the clouds it goes from molecules to water vapor then goes into the air.
301131,5,1,1,1,,,,0,0,0,0,0,"The purpose of this model is to explain the phenomena of evaporation. Someone could use this model to explain paint drying, nails drying, hair drying, or a water level going down.","I think a good model always includes: an explanation of how and why, evidence to show how you get your answer, keys, arrows, or labels to show different parts of the model, being able to explain other phenomena, and taking out all of the ""extras.""","I think it should explain all different phenomena of evaporation. So you know that it (evaporation) occurs with more than a plate/beaker filled with water evaporates like nail polish drying, a marker drying, or even hair drying.","Yes, it does it uses this info because we came up with different ideas of what might happen with the experiment, and made sure it was a general idea, that relates to more than 1 phenomena.",I think the model my group made is for anyone trying to figure out the concept of evaporation.,"I would tell them it does, but that it goes through a process called evaporation first, then through condensation and precipitation, then restarts it's cycle. Then I would explain evaporation to them."
301132,5,1,1,1,,,,0,0,0,0,0,The purpose of my model is to explain the process of evaporation. I would use my model to explain other phenomena of evaporation.,"A good model includes all of the parts of GAME, it also is very descriptive.","Yes I do think it could explain different ways water evaporates. Our model is descriptive, and the picture is nice and clear.",Yes I think our model had information the teacher and experiments. Our picture has information from the simulations.,I think my model would help someone relearn evaporation.,"The water turns into water vapor when it hits air since water vapor is a gas it could rise, the water vapor that rises forms in a group and becomes clouds."
301134,5,1,1,1,,,,0,0,1,0,0,Explain what is go on with temperature.,explaining the big idea and showing prof with ideas.,It should explain different things. So you can make it easier to show.,Yes it did it show's the main idea of the group.,For the class.,The water is coming in contact with air.
301136,5,1,1,1,,,,0,0,0,0,0,The purpose of this model is to show how evaporation works. I would use this model to show people and or younger kids how the proses of evaporation works.,"A good model also follows GAME, has arrows, lines, circles, dots etc.. Show the ""big idea"" and can be used to explain other phenomena like hair drying or paint drying.",All different ways that evaporation happens. Because if a kid came up to you and asked you how paint dried then looked at your model they would be very confused.,Yes by showing what the information showed.,The MSU researchers and mostly myself to learn how evaporation works.,By showing them my model and explaining it.
301139,5,1,1,1,,,,0,0,0,0,0,You might use your model to explain an idea about evaporation.,"Explanation, hard work, pictures, keys, and arrows.",From a plate or beaker because you can see it better that way.,Yes it does I shows that we revised it.,Everyone.,I might show my model.
301140,5,1,1,1,,,,0,0,0,0,0,To explain evaporation.,A good model can explain the big idea.,It should explain all the different phenomena. Because if it only explained one thing people might think that one phenomena is the only one in evaporation.,Yes / no it gases the things we thought were right and necessary the other stuff we left out,Young kids who wouldn't already know this,I'd say that it does evaporate but only of they stick to something to they form clouds.
301141,5,1,1,1,,,,0,0,0,0,0,The purpose of my model is to explain evaporation to people. I could use this model to show all the phenomenon of evaporation.,"A good model has generality, audience, mechanism and evidence or known as GAME.",I think the model should focus on the big idea (evaporation). Because if you describe to much of one thing you start going away from the big idea.,"Yes. It includes this info. Because it shows the same idea, evaporation.",My model is for to explain evaporation.,I could do an experiment with a cup in a closed room with water showing that it doesn't go straight into a cloud.
301142,5,1,1,1,,,,0,0,0,1,0,To show evaporation every kind.,It has GAME. and it explains all kinds of phenomenon not just one.,The first one. So it can answer any phenomenon that comes up.,Yes we used info. From simulations about molecules and how there moving and how they get away.,Anyone who doesn't understand evaporation.,We would hold an experiment and see if there is a cloud above our experiment
301176,5,2,1,,1,,,0,0,0,0,0,Mud evaporating. To show that mud evaporates it. Just dries up.,"It is not specific. Clear for others. Includes detail, description of process. Good models are supported.",,"It shows evaporation, it shows particles, it has a key.",Every body.,When water heats up it evaporates which means it turns into a gas and then it turns into water vapor.
301364,5,2,1,,1,,,0,0,0,0,0,"The purpose of my model is to show evaporation and too show that evaporation can take place if it has lots of light, but even if it is cold. I would use my model to show evaporation.","Generality, audience, mechanism, and evidence makes GAME and you need GAME to make a good model.","I think it should explain all different ways that evaporation happens. So that when people look at my model, they can understand that there are more ways evaporation can take place.",It does. I used it and copied it on my tables so I can use it to make my revised model.,It is for a scientist who studies evaporation.,"I could tell him, that there are lots of other ways for evaporation to take place and look at experiments."
301180,5,2,1,,1,,,0,0,0,0,0,To show how paint goes away and why.,All the details shown on question #2. [above],I think it should not be specific so it also shows different examples in a way. To be general.,Yes. We [my group] did the paint model in our 1st model.,My class of 5th graders and older.,Do an experiment to see how it happens.
301181,5,2,1,,1,,,0,1,0,0,0,The purpose of my model was to explain evaporation. It could be used for things such as how evaporation works and what evaporation does.,"A good model is general, clear for whomever was meant to read, with labels and timelines, and has good evidence to support it.",No be so specific. Because all good models should fit all phenomena.,Yes. Because I put as much as I could from memory and classmates and then checked it,Explaining evaporation.,"By showing them the models, evidence, and impossibility of water going straight into the clouds."
301182,5,2,1,,1,,,0,0,0,0,0,My purpose of my model is to show evaporation. I think my model can be used to show people how evaporation works.,"I think a good model should have GAME. A good model should also have why, how, when the evaporations happen.",Yes it should explain all the different ways. Because the more you now about the different ways you learn more about evaporation.,I used it to help my model.,To learn about evaporation.,"I think that they now a little about evaporation but, not a lot."
301189,5,2,1,,1,,,0,0,0,0,0,"To show the water leaving the cup and showing the different states of matter. (solid, liquid, and gas.)",A good model is clear and easy to understand. So you show evaporation and how it is happening.,"It shows all different ideas. So it fits with everything, like the G in GAME.","Yes it shows the water vapor, and arrows.",5th graders who want to know about evaporation.,I'd show them my models packet.
301191,5,2,1,,1,,,0,0,0,0,0,The purpose of this model is to show the liquid (bottled water) turning into water vapor. You might use this model to help you understand evaporation a little better.,"Generality so it can be compared to other phenomena, audience, clear so people understand it. Mechanisms, to make people know what it is. Evidence, to show what happened.",It should explain the way that evaporation happens. So people can use the model to explain other things.,Yes. It uses the particle nature of matter. It also shows ideas from the computer simulations. ,Evaporation and how evaporation works.,It first has to turn into water vapor and go into the air and it might go to the clouds.
